"state","sldl","county","stab","cntyname","intptlon","intptlat","pop10","afact"
"State code","State legislative district, lower (2010)","County code","State abbreviation","County name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","sldl to county allocation factor"
"01","001","01077","AL","Lauderdale AL",-87.670024,34.830957,47247,1 
"01","002","01077","AL","Lauderdale AL",-87.545075,34.902786,45462,1 
"01","003","01033","AL","Colbert AL",-87.646298,34.735994,42348,1 
"01","004","01083","AL","Limestone AL",-86.999791,34.74767,18379,0.359098 
"01","004","01103","AL","Morgan AL",-86.983974,34.540668,32802,0.640902 
"01","005","01083","AL","Limestone AL",-86.953522,34.850348,48495,1 
"01","006","01089","AL","Madison AL",-86.686255,34.824403,57674,1 
"01","007","01079","AL","Lawrence AL",-87.272433,34.543683,34339,0.838436 
"01","007","01133","AL","Winston AL",-87.255691,34.187339,6617,0.161564 
"01","008","01103","AL","Morgan AL",-87.000943,34.578526,42351,1 
"01","009","01043","AL","Cullman AL",-86.897682,34.265256,5675,0.12508 
"01","009","01103","AL","Morgan AL",-86.838953,34.443978,39696,0.87492 
"01","010","01089","AL","Madison AL",-86.643628,34.657488,50267,1 
"01","011","01009","AL","Blount AL",-86.564251,34.082072,10530,0.238754 
"01","011","01043","AL","Cullman AL",-86.719417,34.218202,28933,0.656017 
"01","011","01103","AL","Morgan AL",-86.701315,34.342096,4641,0.105229 
"01","012","01043","AL","Cullman AL",-86.894664,34.114336,45798,1 
"01","013","01127","AL","Walker AL",-87.187738,33.840234,39882,1 
"01","014","01125","AL","Tuscaloosa AL",-87.616691,33.433014,7408,0.182477 
"01","014","01127","AL","Walker AL",-87.351313,33.826961,27141,0.668547 
"01","014","01133","AL","Winston AL",-87.330816,34.045594,6048,0.148976 
"01","015","01073","AL","Jefferson AL",-87.015818,33.499045,48965,1 
"01","016","01057","AL","Fayette AL",-87.770364,33.726422,17241,0.420584 
"01","016","01075","AL","Lamar AL",-88.109666,33.76277,14564,0.35528 
"01","016","01125","AL","Tuscaloosa AL",-87.641589,33.305637,9188,0.224136 
"01","017","01093","AL","Marion AL",-87.874308,34.111797,30776,0.722526 
"01","017","01133","AL","Winston AL",-87.548869,34.211161,11819,0.277474 
"01","018","01033","AL","Colbert AL",-87.821354,34.679184,12080,0.2759 
"01","018","01059","AL","Franklin AL",-87.793573,34.460481,31704,0.7241 
"01","019","01089","AL","Madison AL",-86.609135,34.762542,42380,1 
"01","020","01089","AL","Madison AL",-86.532943,34.676369,47531,1 
"01","021","01089","AL","Madison AL",-86.568567,34.769774,48999,1 
"01","022","01071","AL","Jackson AL",-86.158859,34.744525,10041,0.20509 
"01","022","01089","AL","Madison AL",-86.457675,34.774099,38918,0.79491 
"01","023","01071","AL","Jackson AL",-85.887331,34.729069,43186,1 
"01","024","01049","AL","DeKalb AL",-85.743012,34.525363,48127,1 
"01","025","01083","AL","Limestone AL",-86.82441,34.788219,15908,0.244927 
"01","025","01089","AL","Madison AL",-86.745769,34.754337,49042,0.755073 
"01","026","01049","AL","DeKalb AL",-86.035422,34.374845,6717,0.12807 
"01","026","01095","AL","Marshall AL",-86.207947,34.24933,45731,0.87193 
"01","027","01095","AL","Marshall AL",-86.37588,34.372557,47288,1 
"01","028","01055","AL","Etowah AL",-86.01162,34.013008,40514,1 
"01","029","01049","AL","DeKalb AL",-86.026787,34.26424,10321,0.238069 
"01","029","01055","AL","Etowah AL",-86.004782,34.061981,33032,0.761931 
"01","030","01055","AL","Etowah AL",-86.065556,33.962947,30884,0.686631 
"01","030","01115","AL","St. Clair AL",-86.241112,33.826179,14095,0.313368 
"01","031","01037","AL","Coosa AL",-86.107275,32.947483,8582,0.184821 
"01","031","01051","AL","Elmore AL",-86.10633,32.589363,37852,0.815178 
