name,fips,mi2
"Autauga, AL",1001,604.49
"Montgomery, AL",1101,799.81
"Apache, AZ",4001,11219.17
"Arkansas, AR",5001,1033.85
"Newton, AR",5101,823.24
"Alameda, CA",6001,821.26
"Sutter, CA",6101,608.86
"Adams, CO",8001,1197.83
"Pueblo, CO",8101,2397.86
"Fairfield, CT",9001,837.01
"Kent, DE",10001,800.14
District of Columbia,11001,68.36
"Alachua, FL",12001,969.18
"Pasco, FL",12101,868.02
"Appling, GA",13001,512.15
"Echols, GA",13101,420.83
"Miller, GA",13201,283.74
"Warren, GA",13301,286.76
"Hawaii, HI",15001,5086.97
"Ada, ID",16001,1060.38
"Adams, IL",17001,871.32
"Lawrence, IL",17101,373.97
"Winnebago, IL",17201,519.33
"Adams, IN",18001,339.95
"Martin, IN",18101,340.55
"Adair, IA",19001,570.33
"Jefferson, IA",19101,436.76
"Allen, KS",20001,505.24
"Lane, KS",20101,717.48
"Washington, KS",20201,898.88
"Adair, KY",21001,412.25
"Henderson, KY",21101,467.26
"Robertson, KY",21201,100.11
"Acadia, LA",22001,657.65
"St. Mary, LA",22101,1118.93
"Androscoggin, ME",23001,497.25
"Allegany, MD",24001,429.74
"Barnstable, MA",25001,1305.52
"Alcona, MI",26001,1790.56
"Manistee, MI",26101,1280.9
"Aitkin, MN",27001,1995.39
"Murray, MN",27101,719.56
"Adams, MS",28001,486.28
"Newton, MS",28101,579.62
"Adair, MO",29001,569.35
"Johnson, MO",29101,833.09
"Scott, MO",29201,426.06
"Beaverhead, MT",30001,5572.35
"Toole, MT",30101,1945.82
"Adams, NE",31001,564.19
"Keith, NE",31101,1109.85
"Churchill, NV",32001,5023.65
"Belknap, NH",33001,468.59
"Atlantic, NJ",34001,671.47
"Bernalillo, NM",35001,1168.77
"Albany, NY",36001,533.47
"Steuben, NY",36101,1404.17
"Alamance, NC",37001,434.8
"Johnston, NC",37101,795.9
"Adams, ND",38001,988.89
"Ward, ND",38101,2056.36
"Adams, OH",39001,585.83
"Marion, OH",39101,404.17
"Adair, OK",40001,577.06
"Muskogee, OK",40101,839.01
"Baker, OR",41001,3088.61
"Adams, PA",42001,521.56
"Philadelphia, PA",42101,142.68
"Bristol, RI",44001,44.71
"Abbeville, SC",45001,511.1
"Moody, SD",46101,521.13
"Anderson, TN",47001,344.83
"Lewis, TN",47101,282.5
"Anderson, TX",48001,1078.05
