"county","state","sldl14","stab","cntyname","intptlon","intptlat","pop10","afact"
"County code","State code","sldl14","State abbreviation","County name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","county to sldl14 allocation factor"
"01001","01","031","AL","Autauga AL",-86.437698,32.685279,520,0.009529 
"01001","01","042","AL","Autauga AL",-86.506291,32.554639,15936,0.292023 
"01001","01","069","AL","Autauga AL",-86.67062,32.513175,7318,0.1341 
"01001","01","088","AL","Autauga AL",-86.446952,32.466158,30797,0.564347 
"01003","01","064","AL","Baldwin AL",-87.762902,30.744138,38226,0.209728 
"01003","01","066","AL","Baldwin AL",-87.591615,30.617319,12617,0.069223 
"01003","01","068","AL","Baldwin AL",-87.853986,31.087374,851,0.004669 
"01003","01","094","AL","Baldwin AL",-87.821224,30.485615,45965,0.252188 
"01003","01","095","AL","Baldwin AL",-87.647587,30.34081,45971,0.252221 
"01003","01","096","AL","Baldwin AL",-87.882599,30.644528,38635,0.211972 
"01005","01","084","AL","Barbour AL",-85.309929,31.844037,27457,1 
"01007","01","049","AL","Bibb AL",-87.108064,33.069837,16635,0.725944 
"01007","01","072","AL","Bibb AL",-87.179551,32.927839,6280,0.274056 
"01009","01","011","AL","Blount AL",-86.576008,34.031866,13228,0.230767 
"01009","01","013","AL","Blount AL",-86.875426,33.865494,5117,0.089268 
"01009","01","027","AL","Blount AL",-86.520656,34.187256,2510,0.043788 
"01009","01","034","AL","Blount AL",-86.562001,33.924074,36467,0.636178 
"01011","01","084","AL","Bullock AL",-85.701197,32.116327,10914,1 
"01013","01","090","AL","Butler AL",-86.653511,31.773539,20947,1 
"01015","01","029","AL","Calhoun AL",-85.819343,33.899968,5362,0.045221 
"01015","01","032","AL","Calhoun AL",-85.842526,33.661633,23264,0.196201 
"01015","01","035","AL","Calhoun AL",-85.906879,33.613549,12063,0.101736 
"01015","01","036","AL","Calhoun AL",-85.834875,33.700115,25373,0.213988 
"01015","01","039","AL","Calhoun AL",-85.610597,33.926992,6578,0.055477 
"01015","01","040","AL","Calhoun AL",-85.806086,33.751946,45932,0.387376 
"01017","01","037","AL","Chambers AL",-85.325674,32.913854,16891,0.493672 
"01017","01","038","AL","Chambers AL",-85.208843,32.80836,17324,0.506328 
"01019","01","039","AL","Cherokee AL",-85.629198,34.179333,25989,1 
"01021","01","042","AL","Chilton AL",-86.683746,32.852411,30030,0.688083 
"01021","01","049","AL","Chilton AL",-86.802849,32.995078,8212,0.188163 
"01021","01","081","AL","Chilton AL",-86.532531,32.838603,5401,0.123754 
